Location,Country,Category,Visitors,Rating,Revenue actual (usd),Accommodation_Available
Wlulcharwr,India,Cultural,603081,1.59,"$64,639,339,000.00",Yes
Jvepmznkcp,USA,Historical,131940,2.95,"$7,871,035,000.00",No
Sktnyzwjjm,France,Urban,872010,2.92,"$96,833,815,000.00",Yes
Xcgzuungrk,Brazil,Historical,339096,3.82,"$3,215,585,000.00",Yes
Rwuamcladq,China,Cultural,876312,2.77,"$88,299,919,000.00",Yes
Etmfafhkku,Egypt,Adventure,885739,4.88,"$15,179,793,000.00",No
Otkjhmbpil,Brazil,Nature,4211,4.46,"$63,886,146,000.00",Yes
Tonewwjcgx,China,Beach,270730,3.64,"$1,919,320,000.00",No
Dzbjzrhsdy,India,Adventure,878428,1.12,"$42,119,439,000.00",Yes
Wnjidxipad,USA,Urban,791062,2.87,"$13,487,613,000.00",No
Xjhwwyzckd,France,Cultural,331179,1.73,"$89,934,534,000.00",No
Ihbjzkqbho,France,Historical,304772,1.37,"$23,452,141,000.00",Yes
Tynntgsssy,Egypt,Adventure,459130,2.08,"$77,505,214,000.00",No
Tvohvdfwom,Egypt,Historical,737696,2.89,"$19,354,415,000.00",No
Snwfjyonmt,India,Cultural,356491,4.31,"$14,299,989,000.00",No
Gdbqvthogr,Brazil,Nature,388625,4.44,"$52,117,169,000.00",Yes
Izelvuonqh,France,Nature,531496,4.95,"$91,108,367,000.00",No
Emionpqapl,USA,Historical,308326,3.18,"$71,112,884,000.00",Yes
Bnqqlyvibj,France,Urban,653781,2.81,"$4,075,341,000.00",No
Pnejougcux,Egypt,Nature,281660,4.20,"$822,646,000.00",Yes
Qpwjoditui,China,Nature,961522,3.90,"$37,221,978,000.00",No
Iogichmlcb,India,Urban,768778,3.08,"$85,261,116,000.00",No
Ilfvycnjqk,USA,Nature,811479,2.51,"$31,041,327,000.00",No
Tnhrejwhyx,India,Adventure,811019,1.09,"$80,214,021,000.00",Yes
Krxqmcnlcb,USA,Historical,478673,1.56,"$263,160,000.00",Yes
Apvzxxuftx,USA,Historical,955746,4.65,"$12,395,952,000.00",Yes
Wfclcjqnld,Australia,Historical,136593,4.12,"$50,249,425,000.00",Yes
Wwtqvjuxrf,China,Cultural,453803,2.36,"$97,969,338,000.00",Yes
Swaadvgnlj,Brazil,Nature,939612,4.61,"$35,598,313,000.00",No
Uewdmbiryj,India,Urban,616510,3.74,"$5,608,340,000.00",Yes
Uwfzzdpehj,Brazil,Historical,619755,1.21,"$87,898,087,000.00",No
Tvaqseewgp,USA,Urban,3557,3.68,"$65,461,423,000.00",Yes
Pjxokkdtdb,Brazil,Historical,587261,3.90,"$65,971,985,000.00",Yes
Hdnmryehqt,USA,Historical,287965,2.27,"$33,930,135,000.00",No
Pjcidonoux,France,Historical,685271,3.43,"$41,870,657,000.00",No
Itznejlpaa,Australia,Beach,605216,4.86,"$7,191,164,000.00",Yes
Kcmuahswjg,USA,Adventure,697237,1.88,"$77,174,075,000.00",No
Yjqpgzvjzh,China,Beach,116430,4.13,"$9,090,613,000.00",No
Ecyibjjipy,USA,Adventure,523126,4.79,"$41,021,421,000.00",No
Fzakwqhxfk,China,Urban,929191,2.24,"$69,354,583,000.00",Yes
Qbqupwetcc,Egypt,Cultural,971124,4.88,"$6,016,641,000.00",Yes
Nknxybkotq,Brazil,Adventure,519911,2.11,"$73,857,757,000.00",Yes
Xolqkxhggx,Egypt,Beach,375637,4.87,"$7,406,501,000.00",Yes
Nppiylephm,India,Adventure,777608,4.32,"$17,931,127,000.00",No
Unndyewhxz,Egypt,Adventure,948472,2.88,"$58,706,098,000.00",Yes
Dumvyqwhul,China,Adventure,834320,1.38,"$92,872,704,000.00",No
Lyzmxzlltv,USA,Urban,209340,1.25,"$24,387,861,000.00",Yes
Ynemvsbztz,France,Nature,671126,4.26,"$88,492,205,000.00",Yes
Mnwdtuofiw,Australia,Beach,589429,2.06,"$2,490,832,000.00",Yes
Wklcnhhtis,USA,Adventure,463928,3.90,"$43,259,006,000.00",Yes
Ucthfzzoey,China,Cultural,995689,4.84,"$79,481,248,000.00",Yes
Ewwwubbrhf,India,Beach,598971,4.65,"$22,156,721,000.00",Yes
Kebnpbwtju,Brazil,Adventure,910609,3.19,"$74,993,916,000.00",Yes
Dagqwjpwpk,USA,Urban,269702,4.79,"$4,414,509,000.00",Yes
Ilftbrtonj,China,Beach,909918,4.06,"$35,981,548,000.00",Yes
Kvdreasked,Brazil,Adventure,843204,2.13,"$84,503,073,000.00",Yes
Jilvdvawii,Brazil,Cultural,815605,4.82,"$85,518,474,000.00",Yes
Clmndezirw,India,Historical,7030,2.26,"$75,854,333,000.00",Yes
Yvvzuyjfwv,Brazil,Urban,211680,4.35,"$9,560,725,000.00",Yes
Weohefpqia,Brazil,Beach,211850,2.71,"$58,004,181,000.00",No
Oilbrckyxk,France,Cultural,417531,2.51,"$46,322,899,000.00",Yes
Dmlfrgtdnb,Brazil,Urban,740854,3.46,"$51,228,009,000.00",No
Mynraratbm,Brazil,Historical,669047,2.40,"$13,949,077,000.00",Yes
Pxxoxfnlva,Australia,Historical,998976,4.63,"$50,927,984,000.00",No
Cbhthqdrze,Brazil,Cultural,154090,2.53,"$59,660,885,000.00",Yes
Dhksdefepn,Brazil,Adventure,540686,3.97,"$24,119,674,000.00",No
Xhnpuamols,Brazil,Cultural,570123,3.23,"$56,301,814,000.00",No
Unkhoiedpr,India,Urban,381959,4.88,"$46,596,692,000.00",Yes
Uqwuigiiup,Egypt,Historical,743169,2.18,"$32,918,292,000.00",No
Sjqkrvbekm,Egypt,Urban,634046,1.35,"$66,236,772,000.00",Yes
Kezafaexsh,Egypt,Cultural,134242,4.48,"$2,293,045,000.00",Yes
Hwmbwdbckd,Australia,Historical,821997,2.78,"$63,166,935,000.00",Yes
Jpmzfageck,USA,Nature,440152,4.13,"$872,264,000.00",No
Lgkerlsqpk,Egypt,Urban,309784,2.76,"$44,959,633,000.00",Yes
Gnwwxnlwcx,USA,Cultural,952889,2.94,"$88,214,125,000.00",No
Vqpvlxjnqw,China,Beach,652217,1.41,"$28,871,857,000.00",Yes
Cbmqsndmwn,Egypt,Adventure,71845,2.50,"$93,392,214,000.00",Yes
Pvlaqhasdq,USA,Historical,497104,3.30,"$82,671,867,000.00",Yes
Bfplnirmgs,Brazil,Cultural,274810,4.43,"$35,488,872,000.00",Yes
Zwovgqdbjb,Brazil,Adventure,798727,2.98,"$18,885,771,000.00",Yes
Lpxprkgqgp,India,Adventure,623205,2.58,"$61,101,099,000.00",No
Ektqctmcnk,Australia,Nature,740720,1.37,"$80,680,948,000.00",No
Njoybttpmh,Egypt,Urban,355354,2.78,"$7,373,534,000.00",No
Yqmxwfrifc,USA,Urban,762738,3.31,"$93,593,652,000.00",Yes
Gcylcnmlfn,Brazil,Cultural,28942,3.47,"$49,378,807,000.00",No
Jdvdezcwzs,Brazil,Historical,706392,4.24,"$48,761,399,000.00",Yes
Fjeeetkiui,USA,Beach,95710,3.33,"$89,277,047,000.00",No
Anwyzwqily,Egypt,Nature,899732,3.06,"$10,273,767,000.00",Yes
Ilyfadfngi,Brazil,Historical,387082,2.21,"$82,639,278,000.00",Yes
Qfblwfggnl,France,Adventure,687152,4.15,"$77,667,891,000.00",No
Izlhlqgkhu,China,Beach,339060,2.97,"$91,738,492,000.00",Yes
Zxztbsunfn,China,Urban,150273,2.82,"$44,901,000.00",Yes
Sgvalgyqns,USA,Cultural,26341,3.29,"$8,352,891,000.00",No
Bqfedctkbg,Brazil,Historical,903012,2.95,"$24,906,144,000.00",Yes
Kjyzfwllal,USA,Historical,96577,1.67,"$33,805,644,000.00",No
Ixsktdvryj,India,Urban,191685,4.06,"$77,834,524,000.00",Yes
Mblmhiilfx,USA,Nature,441205,3.85,"$9,858,963,000.00",No
Siezkrgbyu,India,Historical,55118,2.88,"$35,276,967,000.00",Yes
Xgftmazarc,India,Adventure,801600,4.10,"$4,579,569,000.00",No
Eakqtuumnj,USA,Urban,982548,3.46,"$23,212,461,000.00",No
Rtarekfavg,China,Historical,528147,3.11,"$44,606,198,000.00",No
Szivsgflev,Australia,Beach,352240,3.39,"$36,457,227,000.00",Yes
Vkzufxfruo,Egypt,Adventure,695053,3.70,"$33,719,601,000.00",No
Snpwatyqlu,Brazil,Cultural,125616,3.74,"$94,324,345,000.00",No
Oyvtecjhkf,USA,Beach,531843,2.70,"$70,387,488,000.00",No
Fcwclcolkk,Egypt,Cultural,991834,1.54,"$89,970,146,000.00",No
Vcsfuqqoxb,USA,Beach,173382,4.40,"$20,303,447,000.00",No
Qftxisomon,India,Historical,739791,1.29,"$17,036,565,000.00",No
Uqklufzlev,China,Urban,569490,2.53,"$6,996,284,000.00",Yes
Pkgehbullo,China,Urban,408765,1.15,"$53,100,817,000.00",No
Upefrvvllh,China,Beach,217824,2.70,"$71,621,528,000.00",Yes
Vxsjgawddw,India,Nature,39577,3.22,"$55,064,654,000.00",No
Uyuavgweqs,France,Urban,904040,2.12,"$77,814,317,000.00",No
Yazrryvywb,China,Historical,562287,1.82,"$40,090,442,000.00",No
Fnljfrvtqk,India,Beach,884454,2.39,"$25,067,499,000.00",Yes
Qfaijlfcol,France,Adventure,446371,3.90,"$2,348,146,000.00",No
Ropocbibdo,France,Beach,762961,1.05,"$79,473,052,000.00",No
Xtzxkyrbim,France,Historical,702091,3.34,"$72,665,895,000.00",Yes
Bxtyilcxvo,Brazil,Cultural,379142,2.92,"$20,125,016,000.00",Yes
Sxltrbopfl,Brazil,Historical,177134,3.00,"$34,026,307,000.00",No
Ehilbqkrop,India,Adventure,989938,1.70,"$18,420,464,000.00",No
Mtkknzvcef,Australia,Historical,134086,3.83,"$18,259,977,000.00",Yes
Dbbltrrczt,Australia,Urban,102717,1.49,"$40,225,301,000.00",No
Nfzzdrevcs,Egypt,Cultural,479629,2.10,"$31,623,299,000.00",Yes
Myeurlkikd,Egypt,Urban,431785,2.24,"$18,073,599,000.00",Yes
Wscfkgyeqf,Brazil,Beach,18519,1.29,"$17,496,021,000.00",Yes
Yfqfcigwpk,USA,Urban,292888,3.69,"$36,766,602,000.00",Yes
Jzxsmqysgh,Australia,Nature,555646,3.87,"$2,307,334,000.00",Yes
Efoxyxetky,Egypt,Urban,575195,2.39,"$55,665,394,000.00",No
Sozluxruqx,Brazil,Nature,235580,4.89,"$9,219,922,000.00",Yes
Bpzixnabiu,India,Beach,439423,4.66,"$67,197,091,000.00",Yes
Xyybnfiped,France,Adventure,435387,1.29,"$90,446,087,000.00",No
Xaekfueopt,Egypt,Urban,951610,4.47,"$6,219,113,000.00",Yes
Ckltusadmi,Brazil,Nature,377739,3.58,"$77,400,622,000.00",Yes
Ofrtynuxqg,China,Adventure,255444,4.31,"$829,933,000.00",No
Sjqxiqhwzw,Egypt,Nature,390384,4.46,"$57,088,888,000.00",Yes
Nkaidqvsyo,China,Adventure,25520,1.74,"$47,586,931,000.00",No
Wbqofnfewl,Australia,Cultural,465367,4.40,"$95,213,763,000.00",Yes
Bqoidhbwzx,France,Nature,878338,1.13,"$15,403,628,000.00",Yes
Cyjgvnahfv,France,Adventure,982495,4.70,"$95,107,918,000.00",No
Fncfiwgtdo,USA,Historical,652692,2.30,"$53,914,036,000.00",Yes
Bmrxvwfhdq,Australia,Beach,869239,4.20,"$2,226,042,000.00",No
Sxqrfqmybc,Egypt,Urban,49456,1.13,"$43,296,528,000.00",Yes
Uxvidcwljj,Australia,Cultural,444084,1.19,"$73,462,168,000.00",No
Yeftrzlmiv,France,Beach,378552,4.28,"$57,838,996,000.00",No
Stckymkxoo,China,Nature,484204,1.50,"$67,982,304,000.00",No
Etujkpcqht,USA,Nature,22749,2.37,"$20,195,084,000.00",Yes
Qerccnsidk,China,Historical,359170,4.92,"$76,051,669,000.00",No
Wvkdiueuki,Australia,Nature,509677,4.27,"$5,113,964,000.00",Yes
Lttkdiavuv,Brazil,Cultural,210122,3.91,"$81,578,385,000.00",No
Pldqwtcryz,India,Cultural,234246,1.50,"$21,091,341,000.00",Yes
Dckxawkjth,Australia,Cultural,18712,3.44,"$47,214,179,000.00",No
Bwwrujrnqd,France,Adventure,721826,3.97,"$43,817,115,000.00",Yes
Eacebxgbur,India,Nature,122991,3.14,"$896,395,000.00",No
Svhtxdugcq,France,Adventure,553755,4.68,"$10,071,619,000.00",Yes
Ingbjuugcj,Brazil,Urban,612444,4.16,"$95,424,076,000.00",Yes
Kxgijktcpu,Egypt,Cultural,43267,1.55,"$61,488,147,000.00",Yes
Akoaobwujq,Australia,Beach,133555,1.77,"$43,337,833,000.00",No
Mgnsvoqale,France,Adventure,542812,1.18,"$21,572,063,000.00",No
Tsydjmxexl,India,Beach,925108,2.06,"$2,512,044,000.00",Yes
Rkcvhvkriz,Egypt,Historical,861455,3.78,"$9,536,102,000.00",Yes
Uialpquuzx,China,Beach,111449,2.69,"$808,596,000.00",Yes
Xkifxlmzps,USA,Beach,363345,1.92,"$14,687,955,000.00",Yes
Yujuabhspa,India,Urban,374328,3.92,"$10,352,004,000.00",No
Pgkaycwqrw,Brazil,Urban,556911,4.72,"$49,851,551,000.00",No
Dygjunljqb,Brazil,Adventure,917214,2.02,"$26,630,355,000.00",No
Hairvuxmss,Australia,Beach,864923,3.18,"$10,863,053,000.00",Yes
Xhxleyldvu,France,Urban,494459,4.44,"$44,477,517,000.00",No
Cxhvigmqcm,USA,Beach,881164,3.77,"$44,096,444,000.00",No
Vapblphcgr,Australia,Beach,304538,2.59,"$83,143,287,000.00",Yes
Wnozrmplmi,Egypt,Urban,787170,4.94,"$61,116,252,000.00",No
Qvoqwzivft,Egypt,Adventure,614194,2.81,"$32,918,327,000.00",Yes
Mfnvfhkdiv,Egypt,Beach,541885,2.75,"$45,808,086,000.00",No
Fuismivfks,Australia,Adventure,870421,2.94,"$54,931,481,000.00",No
Uwnwgvukgy,Brazil,Adventure,517952,1.64,"$84,044,722,000.00",Yes
Ogulpfgyzg,USA,Historical,684320,1.73,"$76,145,903,000.00",No
